"Base","Style","Variant","Indices","Mode"
"whitesmith_female","7","purple","40..47","job10_probe_confirmed_safe"
"whitesmith_female","8","pink","40..47","job10_probe_confirmed_safe"
"whitesmith_female","9","leaf","40..47","job10_probe_confirmed_safe"
"whitesmith_female","10","navy","40..47","job10_probe_confirmed_safe"
"whitesmith_female","11","wine","40..47","job10_probe_confirmed_safe"
"whitesmith_female","12","dark","40..47","job10_probe_confirmed_safe"
"whitesmith_female","13","brown","40..47","job10_probe_confirmed_safe"
"whitesmith_female","14","cyan","40..47","job10_probe_confirmed_safe"
"whitesmith_female","15","fire","40..47","job10_probe_confirmed_safe"
"whitesmith_female","16","periwinkle","40..47","job10_probe_confirmed_safe"
"whitesmith_female","17","lime","40..47","job10_probe_confirmed_safe"
"whitesmith_female","18","violet","40..47","job10_probe_confirmed_safe"
"whitesmith_female","19","rose","40..47","job10_probe_confirmed_safe"
"whitesmith_female","20","teal","40..47","job10_probe_confirmed_safe"
"whitesmith_male","2","green","40..47","job10_probe_confirmed_safe"
"whitesmith_male","3","blue","40..47","job10_probe_confirmed_safe"
"whitesmith_male","4","red","40..47","job10_probe_confirmed_safe"
"whitesmith_male","5","orange","40..47","job10_probe_confirmed_safe"
"whitesmith_male","6","gold","40..47","job10_probe_confirmed_safe"
"whitesmith_male","7","purple","40..47","job10_probe_confirmed_safe"
"whitesmith_male","8","pink","40..47","job10_probe_confirmed_safe"
"whitesmith_male","9","leaf","40..47","job10_probe_confirmed_safe"
"whitesmith_male","10","navy","40..47","job10_probe_confirmed_safe"
"whitesmith_male","11","wine","40..47","job10_probe_confirmed_safe"
"whitesmith_male","12","dark","40..47","job10_probe_confirmed_safe"
"whitesmith_male","13","brown","40..47","job10_probe_confirmed_safe"
"whitesmith_male","14","cyan","40..47","job10_probe_confirmed_safe"
"whitesmith_male","15","fire","40..47","job10_probe_confirmed_safe"
"whitesmith_male","16","periwinkle","40..47","job10_probe_confirmed_safe"
"whitesmith_male","17","lime","40..47","job10_probe_confirmed_safe"
"whitesmith_male","18","violet","40..47","job10_probe_confirmed_safe"
"whitesmith_male","19","rose","40..47","job10_probe_confirmed_safe"
"whitesmith_male","20","teal","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","2","green","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","3","blue","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","4","red","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","5","orange","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","6","gold","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","7","purple","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","8","pink","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","9","leaf","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","10","navy","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","11","wine","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","12","dark","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","13","brown","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","14","cyan","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","15","fire","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","16","periwinkle","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","17","lime","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","18","violet","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","19","rose","40..47","job10_probe_confirmed_safe"
"whitesmith_female_riding","20","teal","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","2","green","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","3","blue","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","4","red","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","5","orange","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","6","gold","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","7","purple","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","8","pink","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","9","leaf","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","10","navy","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","11","wine","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","12","dark","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","13","brown","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","14","cyan","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","15","fire","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","16","periwinkle","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","17","lime","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","18","violet","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","19","rose","40..47","job10_probe_confirmed_safe"
"whitesmith_male_riding","20","teal","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","2","green","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","3","blue","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","4","red","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","5","orange","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","6","gold","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","7","purple","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","8","pink","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","9","leaf","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","10","navy","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","11","wine","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","12","dark","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","13","brown","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","14","cyan","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","15","fire","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","16","periwinkle","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","17","lime","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","18","violet","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","19","rose","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_¿©","20","teal","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","2","green","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","3","blue","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","4","red","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","5","orange","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","6","gold","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","7","purple","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","8","pink","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","9","leaf","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","10","navy","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","11","wine","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","12","dark","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","13","brown","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","14","cyan","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","15","fire","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","16","periwinkle","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","17","lime","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","18","violet","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","19","rose","40..47","job10_probe_confirmed_safe"
"È­ÀÌÆ®½º¹Ì½º_³²","20","teal","40..47","job10_probe_confirmed_safe"
"merchant_female","2","green","40..47","job10_probe_confirmed_safe"
"merchant_female","3","blue","40..47","job10_probe_confirmed_safe"
"merchant_female","4","red","40..47","job10_probe_confirmed_safe"
"merchant_female","5","orange","40..47","job10_probe_confirmed_safe"
"merchant_female","6","gold","40..47","job10_probe_confirmed_safe"
"merchant_female","7","purple","40..47","job10_probe_confirmed_safe"
"merchant_female","8","pink","40..47","job10_probe_confirmed_safe"
"merchant_female","9","leaf","40..47","job10_probe_confirmed_safe"
"merchant_female","10","navy","40..47","job10_probe_confirmed_safe"
"merchant_female","11","wine","40..47","job10_probe_confirmed_safe"
"merchant_female","12","dark","40..47","job10_probe_confirmed_safe"
"merchant_female","13","brown","40..47","job10_probe_confirmed_safe"
"merchant_female","14","cyan","40..47","job10_probe_confirmed_safe"
"merchant_female","15","fire","40..47","job10_probe_confirmed_safe"
"merchant_female","16","periwinkle","40..47","job10_probe_confirmed_safe"
"merchant_female","17","lime","40..47","job10_probe_confirmed_safe"
"merchant_female","18","violet","40..47","job10_probe_confirmed_safe"
"merchant_female","19","rose","40..47","job10_probe_confirmed_safe"
"merchant_female","20","teal","40..47","job10_probe_confirmed_safe"
"merchant_male","2","green","40..47","job10_probe_confirmed_safe"
"merchant_male","3","blue","40..47","job10_probe_confirmed_safe"
"merchant_male","4","red","40..47","job10_probe_confirmed_safe"
"merchant_male","5","orange","40..47","job10_probe_confirmed_safe"
"merchant_male","6","gold","40..47","job10_probe_confirmed_safe"
"merchant_male","7","purple","40..47","job10_probe_confirmed_safe"
"merchant_male","8","pink","40..47","job10_probe_confirmed_safe"
"merchant_male","9","leaf","40..47","job10_probe_confirmed_safe"
"merchant_male","10","navy","40..47","job10_probe_confirmed_safe"
"merchant_male","11","wine","40..47","job10_probe_confirmed_safe"
"merchant_male","12","dark","40..47","job10_probe_confirmed_safe"
"merchant_male","13","brown","40..47","job10_probe_confirmed_safe"
"merchant_male","14","cyan","40..47","job10_probe_confirmed_safe"
"merchant_male","15","fire","40..47","job10_probe_confirmed_safe"
"merchant_male","16","periwinkle","40..47","job10_probe_confirmed_safe"
"merchant_male","17","lime","40..47","job10_probe_confirmed_safe"
"merchant_male","18","violet","40..47","job10_probe_confirmed_safe"
"merchant_male","19","rose","40..47","job10_probe_confirmed_safe"
"merchant_male","20","teal","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","2","green","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","3","blue","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","4","red","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","5","orange","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","6","gold","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","7","purple","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","8","pink","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","9","leaf","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","10","navy","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","11","wine","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","12","dark","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","13","brown","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","14","cyan","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","15","fire","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","16","periwinkle","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","17","lime","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","18","violet","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","19","rose","40..47","job10_probe_confirmed_safe"
"merchant_female_riding","20","teal","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","2","green","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","3","blue","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","4","red","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","5","orange","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","6","gold","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","7","purple","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","8","pink","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","9","leaf","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","10","navy","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","11","wine","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","12","dark","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","13","brown","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","14","cyan","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","15","fire","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","16","periwinkle","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","17","lime","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","18","violet","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","19","rose","40..47","job10_probe_confirmed_safe"
"merchant_male_riding","20","teal","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","2","green","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","3","blue","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","4","red","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","5","orange","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","6","gold","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","7","purple","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","8","pink","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","9","leaf","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","10","navy","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","11","wine","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","12","dark","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","13","brown","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","14","cyan","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","15","fire","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","16","periwinkle","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","17","lime","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","18","violet","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","19","rose","40..47","job10_probe_confirmed_safe"
"»óÀÎ_¿©","20","teal","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","2","green","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","3","blue","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","4","red","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","5","orange","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","6","gold","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","7","purple","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","8","pink","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","9","leaf","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","10","navy","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","11","wine","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","12","dark","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","13","brown","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","14","cyan","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","15","fire","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","16","periwinkle","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","17","lime","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","18","violet","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","19","rose","40..47","job10_probe_confirmed_safe"
"»óÀÎ_³²","20","teal","40..47","job10_probe_confirmed_safe"
