"Base","Missing","SourceNumber","Source","Created"
"'Å¸Á¶·¹ÀÎÁ®_³²","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_4.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_5.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_6.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_7.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_8.pal"
"'Å¸Á¶·¹ÀÎÁ®_¿©","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_4.pal"
"'Å¸Á¶·¹ÀÎÁ®_¿©","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_5.pal"
"'Å¸Á¶·¹ÀÎÁ®_¿©","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_6.pal"
"'Å¸Á¶·¹ÀÎÁ®_¿©","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_7.pal"
"'Å¸Á¶·¹ÀÎÁ®_¿©","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_¿©_8.pal"
"abyss_chaser_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_riding_³²_8.pal"
"abyss_chaser_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_riding_¿©_8.pal"
"abyss_chaser_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_³²_8.pal"
"abyss_chaser_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\abyss_chaser_¿©_8.pal"
"arch_mage_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_riding_³²_8.pal"
"arch_mage_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_riding_¿©_8.pal"
"arch_mage_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_³²_8.pal"
"arch_mage_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\arch_mage_¿©_8.pal"
"biolo_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_riding_³²_8.pal"
"biolo_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_riding_¿©_8.pal"
"biolo_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_³²_8.pal"
"biolo_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\biolo_¿©_8.pal"
